[Name]
inlet

[Spatial Fields]
y

[Data]
y[m],Velocity u [m/s],Velocity v [m/s],Velocity w [m/s]
0.239269,0.291617,0.0,0.0
0.239680,0.291415,0.0,0.0
0.240090,0.291210,0.0,0.0
0.240501,0.291003,0.0,0.0
0.240911,0.290794,0.0,0.0
0.241321,0.290582,0.0,0.0
0.241732,0.290368,0.0,0.0
0.242142,0.290152,0.0,0.0
0.242553,0.289933,0.0,0.0
0.242963,0.289712,0.0,0.0
0.243373,0.289488,0.0,0.0
0.243784,0.289262,0.0,0.0
0.244194,0.289034,0.0,0.0
0.244605,0.288803,0.0,0.0
0.245015,0.288570,0.0,0.0
0.245425,0.288334,0.0,0.0
0.245836,0.288096,0.0,0.0
0.246246,0.287855,0.0,0.0
0.246657,0.287613,0.0,0.0
0.247067,0.287367,0.0,0.0
0.247477,0.287120,0.0,0.0
0.247888,0.286869,0.0,0.0
0.248298,0.286617,0.0,0.0
0.248709,0.286362,0.0,0.0
0.249119,0.286105,0.0,0.0
0.249530,0.285845,0.0,0.0
0.249940,0.285583,0.0,0.0
0.250350,0.285318,0.0,0.0
0.250761,0.285051,0.0,0.0
0.251171,0.284782,0.0,0.0
0.251582,0.284510,0.0,0.0
0.251992,0.284236,0.0,0.0
0.252402,0.283960,0.0,0.0
0.252813,0.283681,0.0,0.0
0.253223,0.283399,0.0,0.0
0.253634,0.283116,0.0,0.0
0.254044,0.282829,0.0,0.0
0.254454,0.282541,0.0,0.0
0.254865,0.282250,0.0,0.0
0.255275,0.281956,0.0,0.0
0.255686,0.281661,0.0,0.0
0.256096,0.281362,0.0,0.0
0.256507,0.281062,0.0,0.0
0.256917,0.280759,0.0,0.0
0.257327,0.280453,0.0,0.0
0.257738,0.280146,0.0,0.0
0.258148,0.279835,0.0,0.0
0.258559,0.279523,0.0,0.0
0.258969,0.279208,0.0,0.0
0.259379,0.278890,0.0,0.0
0.259790,0.278570,0.0,0.0
0.260200,0.278248,0.0,0.0
0.260611,0.277924,0.0,0.0
0.261021,0.277597,0.0,0.0
0.261431,0.277267,0.0,0.0
0.261842,0.276935,0.0,0.0
0.262252,0.276601,0.0,0.0
0.262663,0.276264,0.0,0.0
0.263073,0.275925,0.0,0.0
0.263483,0.275584,0.0,0.0
0.263894,0.275240,0.0,0.0
0.264304,0.274894,0.0,0.0
0.264715,0.274545,0.0,0.0
0.265125,0.274194,0.0,0.0
0.265536,0.273840,0.0,0.0
0.265946,0.273484,0.0,0.0
0.266356,0.273126,0.0,0.0
0.266767,0.272765,0.0,0.0
0.267177,0.272402,0.0,0.0
0.267588,0.272037,0.0,0.0
0.267998,0.271669,0.0,0.0
0.268408,0.271298,0.0,0.0
0.268819,0.270926,0.0,0.0
0.269229,0.270550,0.0,0.0
0.269640,0.270173,0.0,0.0
0.270050,0.269793,0.0,0.0
0.270460,0.269411,0.0,0.0
0.270871,0.269026,0.0,0.0
0.271281,0.268639,0.0,0.0
0.271692,0.268249,0.0,0.0
0.272102,0.267857,0.0,0.0
0.272513,0.267463,0.0,0.0
0.272923,0.267066,0.0,0.0
0.273333,0.266667,0.0,0.0
0.273744,0.266265,0.0,0.0
0.274154,0.265861,0.0,0.0
0.274565,0.265455,0.0,0.0
0.274975,0.265046,0.0,0.0
0.275385,0.264635,0.0,0.0
0.275796,0.264221,0.0,0.0
0.276206,0.263805,0.0,0.0
0.276617,0.263387,0.0,0.0
0.277027,0.262966,0.0,0.0
0.277437,0.262542,0.0,0.0
0.277848,0.262117,0.0,0.0
0.278258,0.261689,0.0,0.0
0.278669,0.261258,0.0,0.0
0.279079,0.260825,0.0,0.0
0.279489,0.260390,0.0,0.0
0.279900,0.259952,0.0,0.0
0.280310,0.259512,0.0,0.0
0.280721,0.259070,0.0,0.0
0.281131,0.258625,0.0,0.0
0.281542,0.258178,0.0,0.0
0.281952,0.257728,0.0,0.0
0.282362,0.257276,0.0,0.0
0.282773,0.256821,0.0,0.0
0.283183,0.256364,0.0,0.0
0.283594,0.255905,0.0,0.0
0.284004,0.255443,0.0,0.0
0.284414,0.254979,0.0,0.0
0.284825,0.254513,0.0,0.0
0.285235,0.254044,0.0,0.0
0.285646,0.253572,0.0,0.0
0.286056,0.253099,0.0,0.0
0.286466,0.252623,0.0,0.0
0.286877,0.252144,0.0,0.0
0.287287,0.251663,0.0,0.0
0.287698,0.251180,0.0,0.0
0.288108,0.250694,0.0,0.0
0.288519,0.250206,0.0,0.0
0.288929,0.249715,0.0,0.0
0.289339,0.249222,0.0,0.0
0.289750,0.248727,0.0,0.0
0.290160,0.248229,0.0,0.0
0.290571,0.247729,0.0,0.0
0.290981,0.247226,0.0,0.0
0.291391,0.246721,0.0,0.0
0.291802,0.246214,0.0,0.0
0.292212,0.245704,0.0,0.0
0.292623,0.245192,0.0,0.0
0.293033,0.244677,0.0,0.0
0.293443,0.244160,0.0,0.0
0.293854,0.243641,0.0,0.0
0.294264,0.243119,0.0,0.0
0.294675,0.242595,0.0,0.0
0.295085,0.242068,0.0,0.0
0.295495,0.241539,0.0,0.0
0.295906,0.241007,0.0,0.0
0.296316,0.240474,0.0,0.0
0.296727,0.239937,0.0,0.0
0.297137,0.239399,0.0,0.0
0.297548,0.238857,0.0,0.0
0.297958,0.238314,0.0,0.0
0.298368,0.237768,0.0,0.0
0.298779,0.237220,0.0,0.0
0.299189,0.236669,0.0,0.0
0.299600,0.236116,0.0,0.0
0.300010,0.235560,0.0,0.0
0.300420,0.235003,0.0,0.0
0.300831,0.234442,0.0,0.0
0.301241,0.233880,0.0,0.0
0.301652,0.233314,0.0,0.0
0.302062,0.232747,0.0,0.0
0.302472,0.232177,0.0,0.0
0.302883,0.231605,0.0,0.0
0.303293,0.231030,0.0,0.0
0.303704,0.230453,0.0,0.0
0.304114,0.229873,0.0,0.0
0.304525,0.229291,0.0,0.0
0.304935,0.228707,0.0,0.0
0.305345,0.228120,0.0,0.0
0.305756,0.227531,0.0,0.0
0.306166,0.226939,0.0,0.0
0.306577,0.226345,0.0,0.0
0.306987,0.225749,0.0,0.0
0.307397,0.225150,0.0,0.0
0.307808,0.224549,0.0,0.0
0.308218,0.223945,0.0,0.0
0.308629,0.223339,0.0,0.0
0.309039,0.222731,0.0,0.0
0.309449,0.222120,0.0,0.0
0.309860,0.221507,0.0,0.0
0.310270,0.220891,0.0,0.0
0.310681,0.220273,0.0,0.0
0.311091,0.219653,0.0,0.0
0.311502,0.219030,0.0,0.0
0.311912,0.218405,0.0,0.0
0.312322,0.217777,0.0,0.0
0.312733,0.217147,0.0,0.0
0.313143,0.216514,0.0,0.0
